"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Get List Product And Export To File","ERROR","2023-10-30T16:24:51.829+07:00[Asia/Bangkok]","0.0","21.5"
"Login","Compare giá sản phẩm ở PDP và PLD","SUCCESS","2023-10-31T14:00:28.523+07:00[Asia/Bangkok]","0.0","20.47"
