"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Get List Product And Export To File","ERROR","2023-10-30T16:24:51.829+07:00[Asia/Bangkok]","0.0","21.5"
"Login","Compare giá sản phẩm ở PDP và PLD","FAILURE","2023-10-30T17:46:18.915+07:00[Asia/Bangkok]","0.0","31.96"
